hhsize,able,rec_attended_school,rec_age,dist_food_market,imp_dich,future1yr,asst_idx,lvstk_idx,prod_idx,any_savings,qsn,HF1,HF2,HF3
5,3,,40,,Willing to wait at least once,0,.55332524,0,.48147386,0,244,0,0,0
6,2,,29,,Willing to wait at least once,0,.27653977,0,.80509818,0,245,0,0,0
7,2,,37,,Never willing to wait,0,.14779887,0,.19590285,0,247,0,0,0
5,2,,30,,Never willing to wait,0,.14779887,0,.35964283,1,248,0,0,0
5,2,,36,,Willing to wait at least once,1,.34913072,0,.71846193,0,249,0,0,0
7,3,,43,,Willing to wait at least once,1,.40377998,0,.71846193,0,250,0,0,0
6,2,,30,,Willing to wait at least once,1,.86734021,0,.60697192,1,251,1,0,1
11,5,,42,,Willing to wait at least once,1,.63704008,0,.81875926,0,252,0,0,0
5,1,,42,,Willing to wait at least once,1,1.0615044,.58172446,1.3212838,1,255,0,0,1
4,1,,29,,Willing to wait at least once,0,.40377998,.67513299,.50030637,0,257,0,0,0
6,1,,34,,Willing to wait at least once,0,.62991273,1.3366151,.50030637,0,258,0,0,0
2,1,,78,,Willing to wait at least once,1,.34913072,0,.60697192,0,260,0,0,1
1,0,,68,,Willing to wait at least once,0,.076627567,0,.48147386,0,261,0,0,0
10,1,,62,,Willing to wait at least once,0,.73103076,0,.80509818,0,262,1,0,1
8,2,,39,,Never willing to wait,0,.45559675,.9280141,.82679421,0,263,0,0,0
2,0,,63,,Willing to wait at least once,1,.2913214,0,.60697192,0,265,0,1,0
6,4,,55,,Willing to wait at least once,1,1.8740441,0,.60697192,1,267,0,0,0
7,2,,41,,Willing to wait at least once,0,.59400934,0,.48147386,0,268,0,0,0
8,3,,42,,Willing to wait at least once,0,.77830565,.4369944,.98197877,0,270,0,0,1
8,2,,49,,Never willing to wait,1,1.9340332,2.2964563,1.6359489,1,272,0,0,1
7,2,,30,,Willing to wait at least once,1,.95898336,0,.98197877,1,273,0,0,0
8,2,,42,,Willing to wait at least once,0,.33518511,.47868326,.80509818,0,274,0,0,0
7,2,,40,,Willing to wait at least once,1,1.7668523,1.7699695,1.5007609,0,275,0,1,0
10,5,,43,,Never willing to wait,0,.92987829,1.5996435,1.2540766,0,276,0,0,0
18,5,,54,,Willing to wait at least once,0,1.387851,1.1938043,1.1222582,0,277,0,0,0
5,2,,52,,Willing to wait at least once,0,.85441154,0,.91724521,0,278,0,0,0
6,2,,51,,Willing to wait at least once,1,.40377998,.67513299,.50030637,0,280,0,0,1
7,2,,44,,Willing to wait at least once,0,.34913072,.14903679,.89744425,0,282,0,0,0
6,2,,27,,Willing to wait at least once,1,.14779887,0,.59006101,0,285,0,0,0
4,2,,42,,Willing to wait at least once,1,1.5461822,0,.89744425,1,286,0,1,0
7,2,,50,,Willing to wait at least once,1,1.4541812,1.2055061,1.313995,1,288,0,0,0
5,0,,62,,Never willing to wait,1,.33518511,0,1.1322248,0,289,0,0,0
6,2,,31,,Willing to wait at least once,0,1.3638995,0,.98197877,1,291,0,0,0
4,2,,29,,Willing to wait at least once,1,.3873291,.39349177,.60697192,0,292,0,0,0
6,3,,27,,Willing to wait at least once,1,.92798322,1.3706574,.60697192,1,293,0,0,1
10,3,,47,,Willing to wait at least once,1,.72744745,0,.71846193,0,295,0,0,0
6,2,,25,,Willing to wait at least once,0,.5630551,.93014222,.70334864,0,296,0,0,0
5,1,,42,,Willing to wait at least once,1,.795542,0,.80509818,1,297,0,0,0
6,1,,53,,Willing to wait at least once,0,.40377998,1.1811413,.50030637,0,298,0,0,0
8,2,,31,,Willing to wait at least once,0,.84568334,.21597672,.89744425,0,301,0,0,0
6,2,,40,,Willing to wait at least once,1,.21423963,0,.60697192,0,302,0,0,0
8,2,,40,,Willing to wait at least once,1,1.1197308,0,.98197877,1,303,0,0,1
5,2,,32,,Willing to wait at least once,0,.27653977,1.0495275,.89744425,0,305,0,0,0
8,2,,46,,Willing to wait at least once,0,0,0,.60697192,0,306,0,0,0
10,2,,38,,Willing to wait at least once,1,1.0466038,0,1.4831543,0,340,0,0,1
10,3,,30,,Willing to wait at least once,1,.97438496,1.1042686,.80509818,0,343,0,0,0
6,1,,33,,Never willing to wait,1,.39058095,0,.99343777,0,344,0,0,0
5,2,,30,,Willing to wait at least once,0,.82604957,.33774942,.60697192,0,345,0,0,0
